# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
10

# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
BODY,Fuselage,0,DYRSPTEUJJ,0,0,0,1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, -2.100000000000000089e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,43,17
# x,y,z,u,w
-1.650375000000000147e+00, 1.677373407934824590e-01, -1.338742694520965171e-01, 3.000000000000000000e+00, 7.500000000000000000e-01
-1.650375000000000147e+00, 0.000000000000000000e+00, -1.590000000000000024e-01, 3.000000000000000000e+00, 1.000000000000000000e+00
-1.650375000000000147e+00, -1.677373407934825145e-01, -1.338742694520963228e-01, 3.000000000000000000e+00, 1.250000000000000000e+00
-1.650375000000000147e+00, -3.191525156866441559e-01, -5.785014723011126098e-02, 3.000000000000000000e+00, 1.500000000000000000e+00
-1.650375000000000147e+00, -4.316616903734645794e-01, 6.824430950476312319e-02, 3.000000000000000000e+00, 1.750000000000000000e+00
-1.650375000000000147e+00, -4.749999999999999778e-01, 2.310000000000000109e-01, 3.000000000000000000e+00, 2.000000000000000000e+00
-1.650374999999999925e+00, -4.681192369053256419e-01, 4.206232429656066030e-01, 3.000000000000000000e+00, 2.250000000000000000e+00
-1.650374999999999925e+00, -3.733931359047394372e-01, 5.768087874725690289e-01, 3.000000000000000000e+00, 2.500000000000000000e+00
-1.650374999999999925e+00, -1.897942225247062908e-01, 6.177200617889246903e-01, 3.000000000000000000e+00, 2.750000000000000000e+00
-1.650374999999999925e+00, 0.000000000000000000e+00, 6.209999999999999964e-01, 3.000000000000000000e+00, 3.000000000000000000e+00
-1.650374999999999925e+00, 1.897942225247062353e-01, 6.177200617889246903e-01, 3.000000000000000000e+00, 3.250000000000000000e+00
