# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
8

# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
BODY,Fuselage,0,PBJPAYBZQU,0,0,0,9.997620270799091324e-01, 0.000000000000000000e+00, -2.181488503456112046e-02, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.181488503456112046e-02, 0.000000000000000000e+00, 9.997620270799091324e-01, 0.000000000000000000e+00, -3.330000000000000071e+00, 0.000000000000000000e+00, 1.000000000000000056e-01, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,35,17
# x,y,z,u,w
-2.822556163597948142e+00, -2.040466001349224845e-01, -5.359223824197898445e-01, 2.000000000000000000e+00, 1.250000000000000000e+00
-2.821049786194597786e+00, -3.908321594323063142e-01, -4.668860834003475402e-01, 2.000000000000000000e+00, 1.500000000000000000e+00
-2.817086557090685783e+00, -4.785739821686775808e-01, -2.852538650122099506e-01, 2.000000000000000000e+00, 1.750000000000000000e+00
-2.812664177339541993e+00, -5.000000000000000000e-01, -8.257907037012146567e-02, 2.000000000000000000e+00, 2.000000000000000000e+00
-2.808241797588398647e+00, -4.785739821686775253e-01, 1.200957242719677825e-01, 2.000000000000000000e+00, 2.250000000000000000e+00
-2.804278568484486200e+00, -3.908321594323063142e-01, 3.017279426601044978e-01, 2.000000000000000000e+00, 2.500000000000000000e+00
-2.802772191081135844e+00, -2.040466001349225955e-01, 3.707642416795466911e-01, 2.000000000000000000e+00, 2.750000000000000000e+00
-2.802700081202134541e+00, 0.000000000000000000e+00, 3.740689906474585769e-01, 2.000000000000000000e+00, 3.000000000000000000e+00
-2.802772191081135844e+00, 2.040466001349225955e-01, 3.707642416795465801e-01, 2.000000000000000000e+00, 3.250000000000000000e+00
-2.804278568484486200e+00, 3.908321594323065362e-01, 3.017279426601042758e-01, 2.000000000000000000e+00, 3.500000000000000000e+00
-2.808241797588398647e+00, 4.785739821686773032e-01, 1.200957242719676438e-01, 2.000000000000000000e+00, 3.750000000000000000e+00
